Date,Rate
2020-12-25,23135.0
2020-12-26,23134.0
2020-12-27,23134.0
2020-12-28,23134.0
2020-12-29,23135.0
2020-12-30,23123.5
2020-12-31,23089.0
2021-01-01,23080.0
2021-01-02,23080.0
2021-01-03,23080.0
2021-01-04,23080.0
2021-01-05,23080.0
2021-01-06,23090.0
2021-01-07,23092.5
2021-01-08,23079.0
2021-01-09,23067.5
2021-01-10,23067.5
2021-01-11,23067.5
2021-01-12,23060.0
2021-01-13,23066.5
2021-01-14,23064.5
2021-01-15,23064.5
2021-01-16,23066.0
2021-01-17,23066.0
2021-01-18,23066.0
2021-01-19,23090.8
2021-01-20,23070.5
2021-01-21,23073.0
2021-01-22,23070.0
2021-01-23,23071.5
2021-01-24,23071.5
2021-01-25,23071.5
2021-01-26,23070.0
2021-01-27,23070.0
2021-01-28,23070.0
2021-01-29,23059.5
2021-01-30,23049.0
2021-01-31,23049.0
2021-02-01,23049.0
2021-02-02,23047.5
2021-02-03,23028.5
2021-02-04,23021.5
2021-02-05,23025.0
2021-02-06,23010.0
2021-02-07,23010.0
2021-02-08,23010.0
2021-02-09,22987.5
2021-02-10,23015.0
2021-02-11,23015.0
2021-02-12,23015.0
2021-02-13,23015.0
2021-02-14,23015.0
2021-02-15,23015.0
2021-02-16,23015.0
2021-02-17,23015.0
2021-02-18,23014.0
2021-02-19,23016.5
2021-02-20,23020.0
2021-02-21,23020.0
2021-02-22,23020.0
2021-02-23,23025.0
2021-02-24,23030.0
2021-02-25,23022.5
2021-02-26,23030.0
2021-02-27,23016.5
2021-02-28,23016.5
2021-03-01,23016.5
2021-03-02,23030.0
2021-03-03,23023.0
2021-03-04,23025.0
2021-03-05,23020.0
2021-03-06,23034.0
2021-03-07,23034.0
2021-03-08,23034.0
2021-03-09,23035.0
2021-03-10,23061.0
2021-03-11,23053.5
2021-03-12,23052.5
2021-03-13,23056.5
2021-03-14,23056.5
2021-03-15,23056.5
2021-03-16,23082.0
2021-03-17,23083.0
2021-03-18,23055.0
2021-03-19,23067.0
2021-03-20,23075.0
2021-03-21,23075.0
2021-03-22,23075.0
2021-03-23,23077.0
2021-03-24,23080.0
2021-03-25,23082.5
2021-03-26,23085.0
2021-03-27,23085.5
2021-03-28,23085.5
2021-03-29,23085.5
2021-03-30,23072.5
2021-03-31,23075.0
2021-04-01,23075.0
2021-04-02,23070.0
2021-04-03,23075.0
2021-04-04,23075.0
2021-04-05,23075.0
2021-04-06,23080.0
2021-04-07,23090.5
2021-04-08,23092.5
2021-04-09,23085.5
2021-04-10,23066.5
2021-04-11,23066.5
2021-04-12,23066.5
2021-04-13,23068.0
2021-04-14,23070.5
2021-04-15,23079.0
2021-04-16,23074.5
2021-04-17,23068.0
2021-04-18,23068.0
2021-04-19,23068.0
2021-04-20,23074.0
2021-04-21,23075.0
2021-04-22,23075.0
2021-04-23,23072.0
2021-04-24,23071.0
2021-04-25,23071.0
2021-04-26,23071.0
2021-04-27,23042.5
2021-04-28,23044.0
2021-04-29,23048.0
2021-04-30,23055.0
2021-05-01,23055.0
2021-05-02,23055.0
2021-05-03,23055.0
2021-05-04,23055.0
2021-05-05,23060.0
2021-05-06,23061.5
2021-05-07,23068.5
2021-05-08,23065.0
2021-05-09,23065.0
2021-05-10,23065.0
2021-05-11,23061.5
2021-05-12,23060.0
2021-05-13,23054.5
2021-05-14,23050.0
2021-05-15,23049.0
2021-05-16,23049.0
2021-05-17,23049.0
2021-05-18,23047.0
2021-05-19,23042.0
2021-05-20,23046.0
2021-05-21,23050.0
2021-05-22,23056.0
2021-05-23,23056.0
2021-05-24,23056.0
2021-05-25,23057.0
2021-05-26,23061.5
2021-05-27,23056.5
2021-05-28,23055.0
2021-05-29,23046.0
2021-05-30,23046.0
2021-05-31,23046.0
2021-06-01,23050.0
2021-06-02,23045.5
2021-06-03,23041.5
2021-06-04,23042.5
2021-06-05,23046.0
2021-06-06,23046.0
2021-06-07,23046.0
2021-06-08,23005.0
2021-06-09,22953.0
2021-06-10,22960.0
2021-06-11,22949.5
2021-06-12,22946.0
2021-06-13,22946.0
2021-06-14,22946.0
2021-06-15,22945.5
2021-06-16,22948.5
2021-06-17,22947.5
2021-06-18,22965.0
2021-06-19,23000.0
2021-06-20,23000.0
2021-06-21,23000.0
2021-06-22,23016.5
2021-06-23,23027.5
2021-06-24,23025.0
2021-06-25,23005.5
2021-06-26,23025.0
2021-06-27,23025.0
2021-06-28,23025.0
2021-06-29,23025.0
2021-06-30,23022.5
2021-07-01,23016.0
2021-07-02,23012.5
2021-07-03,23001.0
2021-07-04,23001.0
2021-07-05,23001.0
2021-07-06,22998.0
2021-07-07,23009.5
2021-07-08,23017.5
2021-07-09,23009.5
2021-07-10,23002.5
2021-07-11,23002.5
2021-07-12,23002.5
2021-07-13,23022.0
2021-07-14,23012.5
2021-07-15,23012.5
2021-07-16,23011.0
2021-07-17,23012.5
2021-07-18,23012.5
2021-07-19,23012.5
2021-07-20,23022.0
2021-07-21,23028.5
2021-07-22,23024.0
2021-07-23,23012.0
2021-07-24,23007.0
