Date,Rate
2021-01-15,103.825
2021-01-16,103.875
2021-01-17,103.875
2021-01-18,103.92
2021-01-19,103.712
2021-01-20,103.905
2021-01-21,103.555
2021-01-22,103.515
2021-01-23,103.775
2021-01-24,103.775
2021-01-25,103.785
2021-01-26,103.77
2021-01-27,103.605
2021-01-28,104.155
2021-01-29,104.295
2021-01-30,104.715
2021-01-31,104.715
2021-02-01,104.715
2021-02-02,104.885
2021-02-03,105.035
2021-02-04,104.995
2021-02-05,105.575
2021-02-06,105.365
2021-02-07,105.365
2021-02-08,105.405
2021-02-09,105.215
2021-02-10,104.585
2021-02-11,104.625
2021-02-12,104.745
2021-02-13,104.925
2021-02-14,104.925
2021-02-15,105.065
2021-02-16,105.375
2021-02-17,106.125
2021-02-18,105.865
2021-02-19,105.655
2021-02-20,105.425
2021-02-21,105.425
2021-02-22,105.515
2021-02-23,105.005
2021-02-24,105.285
2021-02-25,105.955
2021-02-26,106.38
2021-02-27,106.555
2021-02-28,106.555
2021-03-01,106.505
2021-03-02,106.855
2021-03-03,106.755
2021-03-04,107.065
2021-03-05,107.96
2021-03-06,108.385
2021-03-07,108.385
2021-03-08,108.415
2021-03-09,108.935
2021-03-10,108.575
2021-03-11,108.435
2021-03-12,108.58
2021-03-13,109.025
2021-03-14,109.025
2021-03-15,109.125
2021-03-16,109.13
2021-03-17,109.035
2021-03-18,108.895
2021-03-19,108.945
2021-03-20,108.89
2021-03-21,108.89
2021-03-22,108.865
2021-03-23,108.785
2021-03-24,108.53
2021-03-25,108.785
2021-03-26,109.18
2021-03-27,109.68
2021-03-28,109.68
2021-03-29,109.795
2021-03-30,109.855
2021-03-31,110.325
2021-04-01,110.77
2021-04-02,110.615
2021-04-03,110.695
2021-04-04,110.695
2021-04-05,110.685
2021-04-06,110.185
2021-04-07,109.775
2021-04-08,109.855
2021-04-09,109.325
2021-04-10,109.67
2021-04-11,109.67
2021-04-12,109.715
2021-04-13,109.375
2021-04-14,108.925
2021-04-15,108.875
2021-04-16,108.695
2021-04-17,108.795
2021-04-18,108.795
2021-04-19,108.725
2021-04-20,108.105
2021-04-21,108.115
2021-04-22,108.035
2021-04-23,107.985
2021-04-24,107.865
2021-04-25,107.865
2021-04-26,107.89
2021-04-27,108.195
2021-04-28,108.755
2021-04-29,108.52
2021-04-30,108.895
2021-05-01,109.325
2021-05-02,109.325
2021-05-03,109.29
2021-05-04,109.09
2021-05-05,109.335
2021-05-06,109.225
2021-05-07,109.055
2021-05-08,108.595
2021-05-09,108.595
2021-05-10,108.56
2021-05-11,108.845
2021-05-12,108.72
2021-05-13,109.655
2021-05-14,109.52
2021-05-15,109.345
2021-05-16,109.345
2021-05-17,109.405
2021-05-18,109.225
2021-05-19,108.87
2021-05-20,109.275
2021-05-21,108.855
2021-05-22,108.95
2021-05-23,108.95
2021-05-24,108.925
2021-05-25,108.855
2021-05-26,108.795
2021-05-27,109.165
2021-05-28,109.81
2021-05-29,109.835
2021-05-30,109.835
2021-05-31,109.925
2021-06-01,109.5
2021-06-02,109.495
2021-06-03,109.6
2021-06-04,110.295
2021-06-05,109.53
2021-06-06,109.53
2021-06-07,109.61
2021-06-08,109.275
2021-06-09,109.47
2021-06-10,109.615
2021-06-11,109.405
2021-06-12,109.69
2021-06-13,109.69
2021-06-14,109.72
2021-06-15,110.035
2021-06-16,110.085
2021-06-17,110.775
2021-06-18,110.325
2021-06-19,110.23
2021-06-20,110.23
2021-06-21,110.185
2021-06-22,110.375
2021-06-23,110.65
2021-06-24,111.005
2021-06-25,110.925
2021-06-26,110.785
