Date,Rate,Normalized_Rate
2022-04-03,22839.0,0.06177400762569096
2022-04-04,22839.0,0.06177400762569096
2022-04-05,22847.5,0.06428634764874541
2022-04-06,22875.0,0.07241450654686243
2022-04-07,22867.5,0.07019773593828482
2022-04-08,22861.0,0.06827653474418494
2022-04-09,22862.0,0.06857210415866177
2022-04-10,22862.0,0.06857210415866177
2022-04-11,22862.0,0.06857210415866177
2022-04-12,22862.0,0.06857210415866177
2022-04-13,22890.0,0.07684804776401766
2022-04-14,22888.5,0.07640469364230196
2022-04-15,22901.5,0.08024709603050262
2022-04-16,22901.0,0.08009931132326464
2022-04-17,22901.0,0.08009931132326464
2022-04-18,22901.0,0.08009931132326464
2022-04-19,22900.0,0.07980374190878692
2022-04-20,22957.5,0.09679898324121439
2022-04-21,22964.5,0.09886796914255314
2022-04-22,22963.0,0.09842461502083744
2022-04-23,22967.5,0.09975467738598365
2022-04-24,22967.5,0.09975467738598365
2022-04-25,22967.5,0.09975467738598365
2022-04-26,22984.5,0.10477935743209255
2022-04-27,22972.5,0.10123252445836872
2022-04-28,22968.0,0.09990246209322251
2022-04-29,22957.5,0.09679898324121439
2022-04-30,22963.5,0.0985723997280763
2022-05-01,22963.5,0.0985723997280763
2022-05-02,22963.5,0.0985723997280763
2022-05-03,22963.5,0.0985723997280763
2022-05-04,22963.5,0.0985723997280763
2022-05-05,22968.0,0.09990246209322251
2022-05-06,22956.0,0.09635562911949869
2022-05-07,22956.5,0.09650341382673755
2022-05-08,22956.5,0.09650341382673755
2022-05-09,22956.5,0.09650341382673755
2022-05-10,22951.5,0.09502556675435248
2022-05-11,22942.5,0.09236544202405916
2022-05-12,23055.0,0.12561700115272068
2022-05-13,23098.5,0.13847427068246976
2022-05-14,23087.5,0.13522300712322277
2022-05-15,23087.5,0.13522300712322277
2022-05-16,23087.5,0.13522300712322277
2022-05-17,23097.5,0.13817870126799292
2022-05-18,23125.0,0.14630686016610994
2022-05-19,23141.0,0.151035970797742
2022-05-20,23150.0,0.15369609552803443
2022-05-21,23170.0,0.15960748381757472
2022-05-22,23170.0,0.15960748381757472
2022-05-23,23170.0,0.15960748381757472
2022-05-24,23175.0,0.1610853308899598
2022-05-25,23220.0,0.1743859545414237
2022-05-26,23197.5,0.16773564271569175
2022-05-27,23210.0,0.17143026039665443
2022-05-28,23197.5,0.16773564271569175
2022-05-29,23197.5,0.16773564271569175
2022-05-30,23197.5,0.16773564271569175
2022-05-31,23180.0,0.16256317796234399
2022-06-01,23190.0,0.16551887210711413
2022-06-02,23201.0,0.16877013566636112
2022-06-03,23198.0,0.1678834274229306
2022-06-04,23192.0,0.1661100109360687
2022-06-05,23192.0,0.1661100109360687
2022-06-06,23192.0,0.1661100109360687
2022-06-07,23185.0,0.16404102503472906
2022-06-08,23190.0,0.16551887210711413
2022-06-09,23192.0,0.1661100109360687
2022-06-10,23160.0,0.15665178967280458
2022-06-11,23182.0,0.16315431679129855
2022-06-12,23182.0,0.16315431679129855
2022-06-13,23182.0,0.16315431679129855
2022-06-14,23200.0,0.16847456625188428
2022-06-15,23215.0,0.17290810746903862
2022-06-16,23235.0,0.17881949575857892
2022-06-17,23237.0,0.1794106345875326
2022-06-18,23230.0,0.17734164868619384
2022-06-19,23230.0,0.17734164868619384
2022-06-20,23230.0,0.17734164868619384
2022-06-21,23171.3,0.15999172405639417
2022-06-22,23144.3,0.152011349865516
2022-06-23,23237.5,0.17955841929477145
2022-06-24,23249.0,0.18295746756125641
2022-06-25,23252.0,0.18384417580468781
2022-06-26,23252.0,0.18384417580468781
2022-06-27,23252.0,0.18384417580468781
2022-06-28,23247.5,0.1825141134395416
2022-06-29,23260.0,0.1862087311205034
2022-06-30,23270.0,0.18916442526527355
2022-07-01,23265.0,0.18768657819288848
2022-07-02,23315.0,0.20246504891673833
2022-07-03,23315.0,0.20246504891673833
2022-07-04,23315.0,0.20246504891673833
2022-07-05,23350.0,0.21280997842343297
2022-07-06,23365.0,0.2172435196405873
2022-07-07,23378.0,0.22108592202878885
2022-07-08,23355.0,0.21428782549581804
2022-07-09,23357.5,0.2150267490320097
2022-07-10,23357.5,0.2150267490320097
2022-07-11,23357.5,0.2150267490320097
2022-07-12,23352.0,0.21340111725238664
2022-07-13,23394.0,0.22581503266042002
2022-07-14,23393.0,0.22551946324594319
2022-07-15,23420.0,0.23349983743682223
2022-07-16,23455.0,0.24384476694351687
2022-07-17,23455.0,0.24384476694351687
2022-07-18,23455.0,0.24384476694351687
2022-07-19,23447.5,0.24162799633493925
2022-07-20,23417.0,0.23261312919339083
2022-07-21,23420.0,0.23349983743682223
2022-07-22,23415.0,0.23202199036443716
2022-07-23,23405.0,0.229066296219667
2022-07-24,23405.0,0.229066296219667
2022-07-25,23405.0,0.229066296219667
2022-07-26,23390.0,0.22463275500251267
2022-07-27,23373.0,0.21960807495640378
2022-07-28,23380.0,0.22167706085774253
2022-07-29,23363.0,0.21665238081163363
2022-07-30,23340.0,0.20985428427866282
2022-07-31,23340.0,0.20985428427866282
2022-08-01,23340.0,0.20985428427866282
2022-08-02,23360.0,0.21576567256820223
2022-08-03,23358.0,0.21517453373924855
2022-08-04,23399.0,0.2272928797328051
2022-08-05,23398.0,0.22699731031832826
2022-08-06,23390.0,0.22463275500251267
2022-08-07,23390.0,0.22463275500251267
2022-08-08,23390.0,0.22463275500251267
2022-08-09,23390.5,0.22478053970975065
2022-08-10,23390.0,0.22463275500251267
2022-08-11,23390.0,0.22463275500251267
2022-08-12,23395.0,0.22611060207489686
2022-08-13,23397.0,0.22670174090385142
2022-08-14,23397.0,0.22670174090385142
2022-08-15,23397.0,0.22670174090385142
2022-08-16,23405.0,0.229066296219667
2022-08-17,23408.0,0.2299530044630984
2022-08-18,23403.5,0.2286229420979513
2022-08-19,23406.0,0.22936186563414385
2022-08-20,23405.0,0.229066296219667
2022-08-21,23405.0,0.229066296219667
2022-08-22,23405.0,0.229066296219667
2022-08-23,23415.0,0.23202199036443716
2022-08-24,23435.0,0.23793337865397657
2022-08-25,23440.0,0.23941122572636164
2022-08-26,23428.0,0.23586439275263782
2022-08-27,23417.0,0.23261312919339083
2022-08-28,23417.0,0.23261312919339083
2022-08-29,23417.0,0.23261312919339083
2022-08-30,23435.0,0.23793337865397657
